ds,yhat,yhat_lower,yhat_upper
2022-08-01,189.31665769352088,176.4835277867829,201.6967874302625
2022-08-02,191.01162653496306,178.09805215363846,202.83071387865533
2022-08-03,189.04888174284827,176.41276398636975,201.06038641375176
2022-08-04,189.9936826179999,178.03136942438798,203.11363221213347
2022-08-05,190.68864367649516,178.23157660400983,203.26524842497096
2022-08-06,190.1593747416032,177.21403149745336,202.1722561216779
2022-08-07,189.51857142716287,177.31719001122173,200.97399607314824
2022-08-08,187.444271600562,175.52147190410597,200.17934772126262
2022-08-09,189.08318779564553,176.6917162941409,200.12030635803953
2022-08-10,187.06943755437203,175.13826357740226,200.01709632760313
2022-08-11,187.96990851337003,175.4239368850143,200.67948972421968
2022-08-12,188.62858654643603,176.61777408340848,201.29958606380595
2022-08-13,188.07215989832173,175.19935886898077,200.24529417155543
2022-08-14,187.41408311740594,173.88661743805605,199.44427406345042
2022-08-15,185.3328171696095,172.6653655138342,197.4575994539723
2022-08-16,186.9751561867692,175.38355211028042,199.59512454088136
2022-08-17,184.974962984946,172.3339720395305,197.20095195011558
2022-08-18,185.89854999178752,172.96524131539383,198.3462074781078
2022-08-19,186.5890333875343,174.23476946964618,198.7014544365764
2022-08-20,186.07197257232028,173.33887895816247,198.4859089909684
2022-08-21,185.45947765257307,173.74733210785672,197.52104786402796
2022-08-22,183.42849995373484,170.6518881689952,195.92867150791642
2022-08-23,185.12421441840277,172.88649862138053,197.24874393083562
2022-08-24,183.1788142597551,170.42662798422535,194.64426626494043
2022-08-25,184.15695262547524,172.72353408725687,197.71485018742717
2022-08-26,184.90015713206864,172.41550923983257,197.2124653727549
2022-08-27,184.4325274364467,172.01075236985704,196.06304635141433
2022-08-28,183.86489665042123,171.85756729951777,197.10689904665205
2022-08-29,181.87316983630402,169.1835245154656,193.57476404518587
2022-08-30,183.6017468470122,171.08452342253858,196.09730960425213
2022-08-31,181.68234850902982,168.9527514898896,194.30128812101998
2022-09-01,182.67947980104134,170.49853026786747,195.55552226043906
2022-09-02,183.43485509083604,171.3543888846826,195.61280162236005
2022-09-03,182.97309513321727,170.67534918297542,195.62416868849874
2022-09-04,182.40507331118854,170.07557077080483,195.16693074001202
2022-09-05,180.40864065166895,168.48974980641475,192.83166315313335
2022-09-06,182.12960537934086,169.5149963993052,194.3767853923686
2022-09-07,180.20131904212587,168.01782258907252,192.93624412814475
2022-09-08,181.1900880634132,168.8358323509719,194.2719814793827
2022-09-09,181.93954052390364,170.13746224698107,193.59082151843634
2022-09-10,181.47625964080777,169.4745448630764,193.7805446123567
2022-09-11,180.91386658562948,168.67850508369796,192.65097394581838
2022-09-12,178.93126819679384,166.33921636425097,190.98707058997556
